name,distance_km,speed_kmph,price_basis,need_kwh,charger_kw,duration_h_base,duration_h_travel,duration_h_effective,best_price_start,best_price_mean_c_per_kwh,best_price_cost_AUD,best_price_emissions_kg,best_intensity_start,best_intensity_mean_g_per_kwh,best_intensity_cost_AUD,best_intensity_emissions_kg,cost_delta_AUD,emissions_delta_kg
Doncaster,5.7,40.0,retailB_c_per_kwh,20.0,50.0,0.4,0.29,0.69,2025-09-14 12:00:00+10:00,12.545,5.36,9.51,2025-09-08 11:00:00+10:00,233.0,5.97,4.66,-0.61,4.85
Doncaster,5.7,40.0,spot_c_per_kwh,40.0,7.0,5.71,0.29,6.0,2025-09-14 08:00:00+10:00,-3.371,1.5,17.48,2025-09-08 09:00:00+10:00,244.2,2.29,9.77,-0.79,7.71
Doncaster,5.7,40.0,retailA_c_per_kwh,40.0,7.0,5.71,0.29,6.0,2025-09-14 08:00:00+10:00,13.629,8.3,17.48,2025-09-08 09:00:00+10:00,244.2,9.09,9.77,-0.79,7.71
Doncaster,5.7,40.0,retailB_c_per_kwh,40.0,7.0,5.71,0.29,6.0,2025-09-14 08:00:00+10:00,13.629,8.3,17.48,2025-09-08 09:00:00+10:00,244.2,9.09,9.77,-0.79,7.71
Doncaster,5.7,40.0,spot_c_per_kwh,40.0,11.0,3.64,0.29,3.92,2025-09-14 10:00:00+10:00,-4.178,1.18,17.97,2025-09-08 10:00:00+10:00,237.1,2.26,9.48,-1.08,8.49
Doncaster,5.7,40.0,retailA_c_per_kwh,40.0,11.0,3.64,0.29,3.92,2025-09-14 10:00:00+10:00,12.822,7.98,17.97,2025-09-08 10:00:00+10:00,237.1,9.06,9.48,-1.08,8.49
Doncaster,5.7,40.0,retailB_c_per_kwh,40.0,11.0,3.64,0.29,3.92,2025-09-14 10:00:00+10:00,12.822,7.98,17.97,2025-09-08 10:00:00+10:00,237.1,9.06,9.48,-1.08,8.49
Doncaster,5.7,40.0,spot_c_per_kwh,40.0,50.0,0.8,0.29,1.08,2025-09-14 12:00:00+10:00,-4.455,1.07,19.01,2025-09-08 12:00:00+10:00,232.4,2.25,9.3,-1.18,9.71
Doncaster,5.7,40.0,retailA_c_per_kwh,40.0,50.0,0.8,0.29,1.08,2025-09-14 12:00:00+10:00,12.545,7.87,19.01,2025-09-08 12:00:00+10:00,232.4,9.05,9.3,-1.18,9.71
Doncaster,5.7,40.0,retailB_c_per_kwh,40.0,50.0,0.8,0.29,1.08,2025-09-14 12:00:00+10:00,12.545,7.87,19.01,2025-09-08 12:00:00+10:00,232.4,9.05,9.3,-1.18,9.71
Melbourne Airport,0.0,40.0,spot_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,-4.455,-0.45,4.75,2025-09-08 11:00:00+10:00,233.3,-0.14,2.33,-0.31,2.42
Melbourne Airport,0.0,40.0,retailA_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,233.3,1.56,2.33,-0.31,2.42
Melbourne Airport,0.0,40.0,retailB_c_per_kwh,10.0,7.0,1.43,0.0,1.43,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,233.3,1.56,2.33,-0.31,2.42
Melbourne Airport,0.0,40.0,spot_c_per_kwh,10.0,11.0,0.91,0.0,0.91,2025-09-14 12:00:00+10:00,-4.455,-0.45,4.75,2025-09-08 11:00:00+10:00,232.8,-0.14,2.33,-0.31,2.42
Melbourne Airport,0.0,40.0,retailA_c_per_kwh,10.0,11.0,0.91,0.0,0.91,2025-09-14 12:00:00+10:00,12.545,1.25,4.75,2025-09-08 11:00:00+10:00,232.8,1.56,2.33,-0.31,2.42
